dataset,nodes,edges,frames,divisions,div_rate,annot_frac,starts,ends,dt_gap,disp_p50,disp_p90,disp_max
44b6_0113de3b,52,50,52,0,0.0,0.0020190254319549603,2,2,0,2.882652237165848,4.666571847643813,7.814374775053984
44b6_0b24845f,51,49,40,0,0.0,0.00155511510901052,2,2,0,2.0714766773970688,3.4291066438065276,5.154734625807618
44b6_0c582fdc,71,70,71,0,0.0,0.002539523571070892,1,1,0,2.1877232028983924,3.305353873776458,5.025034981221523
44b6_0db75fae,157,151,89,0,0.0,0.010238017606781872,6,6,0,2.333728575156074,3.832554834897995,7.632744530147724
44b6_12dfb391,788,773,100,1,0.0012690355329949238,0.013430597218434688,15,16,0,1.284675299443404,2.0714766773970688,5.87308811976289
44b6_144b256d,121,119,100,0,0.0,0.0018508321096426823,2,2,0,0.5745242597140698,1.8257784605900256,4.1429533547941375
44b6_1574802b,155,153,95,0,0.0,0.008768456186004412,2,2,0,2.1877232028983924,3.72334275215162,11.058659290913162
44b6_18ced818,100,99,100,0,0.0,0.0012715528203041553,1,1,0,2.2980970388562794,3.350023320814349,5.773897351442957
44b6_1d530831,276,271,100,0,0.0,0.007704117236566644,5,5,0,1.7235727791422095,2.9575446425202108,9.992428774452184
44b6_24264f12,230,221,87,0,0.0,0.008727659090046674,9,9,0,2.569350598886808,3.832554834897995,7.368707591056928
44b6_267148e4,280,277,100,1,0.0035714285714285713,0.014636696288552013,3,4,0,2.333728575156074,5.58501412822743,9.27282867104208
44b6_2a2eff9f,214,210,100,1,0.004672897196261682,0.0037965476253836463,4,5,0,1.86167137607581,3.3053538737764576,8.384905522723557
44b6_2f31fc2f,89,85,69,0,0.0,0.0036523309258043334,4,4,0,2.9575446425202108,5.60528360023314,10.570309612896871
44b6_33b596bf,50,49,50,0,0.0,0.0021431633090441492,1,1,0,2.84375,4.020856614573326,5.998209368219819
44b6_341df25f,216,209,100,1,0.004629629629629629,0.029047875201721356,7,8,0,1.6750116604071745,2.632800908728193,7.141223306444072
44b6_3a861e03,935,919,100,0,0.0,0.023060227889310905,16,16,0,1.6750116604071745,3.255058442049258,9.518741792511236
44b6_3bb3690f,400,396,100,0,0.0,0.012524657920280553,4,4,0,1.284675299443404,2.1877232028983924,7.3125
44b6_40c45f5a,200,198,100,0,0.0,0.006119763777118203,2,2,0,1.6750116604071745,2.6012692214570947,4.755034338729848
44b6_415c0a3a,331,322,100,0,0.0,0.005777420931369127,9,9,0,1.284675299443404,2.1877232028983924,3.832554834897995
44b6_53f95252,70,68,51,0,0.0,0.0018080847216841018,2,2,0,2.03125,3.7504450851538453,6.5
44b6_551a5dba,228,224,100,0,0.0,0.003956478733926805,4,4,0,1.284675299443404,2.6012692214570947,6.410516871711672
44b6_5740d24b,173,170,100,0,0.0,0.00876837303598581,3,3,0,1.6750116604071745,2.333728575156074,4.0625
44b6_587a1e22,381,371,95,1,0.0026246719160104987,0.021006781716932238,10,11,0,2.7252078475778685,5.008586377412294,9.917826437783633
44b6_5f15d135,278,273,100,1,0.0035971223021582736,0.009417663199972899,5,6,0,1.86167137607581,3.3696574196112445,8.75089281159357
44b6_668e0cc7,643,631,100,0,0.0,0.016196065590287398,12,12,0,1.9902104160113323,3.6336104634371584,14.270886557078365
44b6_66f9292d,200,198,100,0,0.0,0.0037943464238284954,2,2,0,0.8125,1.86167137607581,4.1429533547941375
44b6_706092f0,118,117,100,1,0.00847457627118644,0.0016881741966866006,1,2,0,0.8125,2.0066262496067995,5.658407737606049
44b6_71a4179f,121,119,100,0,0.0,0.0017876137572390971,2,2,0,0.5745242597140698,1.7235727791422095,2.9295104113144914
44b6_74d0c52e,140,139,100,1,0.007142857142857143,0.00927766732935719,1,2,0,1.86167137607581,3.255058442049257,12.335558991184794
44b6_7a302da0,516,507,100,1,0.001937984496124031,0.00771784977115678,9,10,0,1.625,2.4375,6.20113711850496
44b6_7e557709,570,560,100,0,0.0,0.01016767748840528,10,10,0,1.284675299443404,2.0714766773970688,4.667457150312148
44b6_808952d6,181,179,100,0,0.0,0.011497903697115995,2,2,0,1.7235727791422095,2.333728575156074,4.772356925566235
44b6_81c256f0,199,197,100,0,0.0,0.019797055312375647,2,2,0,1.6750116604071745,2.4375,4.0010984819796676
44b6_87bba6c4,153,149,80,0,0.0,0.005444452352145755,4,4,0,3.300390601883359,8.00092826309918,12.328867610713484
44b6_8cc6506c,400,396,100,0,0.0,0.012433171702101207,4,4,0,1.284675299443404,2.333728575156074,6.749131888620936
44b6_8f5ab931,616,604,100,0,0.0,0.022342316201806246,12,12,0,1.7235727791422095,2.632800908728193,6.662995408410545
44b6_8f9ecab4,374,370,100,0,0.0,0.004997795090401293,4,4,0,0.9084026158592896,1.86167137607581,5.887121803139459
44b6_90724892,105,103,57,0,0.0,0.004112486291712361,2,2,0,2.4375,3.6379658564756094,4.755034338729848
44b6_949adeb1,388,378,76,0,0.0,0.010435998816536217,10,10,0,2.03125,3.374565944310468,6.942003043070494
44b6_95029e92,200,198,100,0,0.0,0.03875217981011432,2,2,0,1.6750116604071745,2.632800908728193,6.662995408410545
