run,timestamp,method,split,n_videos,score,edge_jaccard,adj_edge_jaccard,division_jaccard,node_recall,division_tp,division_fp,division_fn,det_threshold,pool_kernel_um,target_nodes,target_nodes_from_geff,max_out_degree,max_in_degree,min_track_nodes,edge_activation,threshold,gate_um,null_logit,max_children_per_node,max_parents_per_node,det_tta,use_ilp,weights
control,2026-09-10 06:38:51,sweep,0,5,0.601566765518191,0.6149005789076265,0.6007368899995188,0.008298755186721992,0.9465824363086099,2,234,5,0.99,3.0,,False,0,0,1,softmax,0.5,inf,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
prune_nodes,2026-09-10 06:43:21,sweep,0,5,0.6214095640558671,0.6281179138321995,0.6205865187883775,0.00823045267489712,0.9228003972885134,2,236,5,0.99,3.0,,False,2,1,2,softmax,0.5,inf,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
gate12,2026-09-10 06:47:50,sweep,0,5,0.6149978415719276,0.625812665542981,0.6144198068898467,0.005780346820809248,0.9401467356427833,2,339,5,0.99,3.0,,False,2,1,2,softmax,0.5,12.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
gate8,2026-09-10 06:52:19,sweep,0,5,0.6237348398457023,0.6355095157793302,0.623121342913187,0.006134969325153374,0.9353977605659823,2,319,5,0.99,3.0,,False,2,1,2,softmax,0.5,8.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
gate20,2026-09-10 06:56:46,sweep,0,5,0.6174509046193042,0.6263817243920413,0.6167951669143862,0.006557377049180328,0.9334433100814097,2,298,5,0.99,3.0,,False,2,1,2,softmax,0.5,20.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
dual,2026-09-10 07:01:14,sweep,0,5,0.6425643779745221,0.649232370543846,0.6425643779745221,0.0,0.9155063714247544,0,77,7,0.99,3.0,,False,2,1,2,dual_softmax,0.5,inf,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
dual_gate12,2026-09-10 07:05:42,sweep,0,5,0.6523134360402654,0.6620934959349594,0.6515671673835489,0.007462686567164179,0.9393825294707085,1,127,6,0.99,3.0,,False,2,1,2,dual_softmax,0.5,12.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
null_gate12,2026-09-10 07:10:10,sweep,0,5,0.6216091056948243,0.6291020096667514,0.621150390098494,0.0045871559633027525,0.9039894764250102,1,211,6,0.99,3.0,,False,2,1,2,softmax_null,0.5,12.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
dual_null_gate12,2026-09-10 07:14:38,sweep,0,5,0.6432560419022806,0.648980658651333,0.6417854536669865,0.014705882352941176,0.9039641449914683,1,61,6,0.99,3.0,,False,2,1,2,dual_softmax_null,0.5,12.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
thr0.3_gate12,2026-09-10 07:19:08,sweep,0,5,0.6016032608375962,0.6145328719723183,0.6011445452412659,0.0045871559633027525,0.9455169102438588,2,429,5,0.99,3.0,,False,2,1,2,softmax,0.3,12.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
thr0.7_gate12,2026-09-10 07:23:36,sweep,0,5,0.5789869465549768,0.5789066529138731,0.5781285774562644,0.008583690987124463,0.8791567939481026,2,226,5,0.99,3.0,,False,2,1,2,softmax,0.7,12.0,0.0,2,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
nofork_gate12,2026-09-10 07:28:04,sweep,0,5,0.6560600140562524,0.6649255680334291,0.6560600140562524,0.0,0.9367553677573472,0,0,7,0.99,3.0,,False,2,1,2,softmax,0.5,12.0,0.0,1,1,True,False,/kaggle/working/repo/checkpoints/baseline_split0/edge_predictor_best.pth
